Clave,Nombre,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/,Fuentes de abastecimiento de agua a/,Plantas potabilizadoras de agua en operación a/,Capacidad instalada de las plantas potabilizadoras en operación (litros por segundo) a/,Volumen suministrado anual de agua potable (millones de metros cúbicos) b/,Sistemas de agua entubada a/,Tomas domiciliarias de agua entubada a/,Localidades con red de distribución de agua entubada a/,Sistemas de drenaje y alcantarillado a/,Localidades con el servicio de drenaje y alcantarillado a/,Tomas instaladas de energía eléctrica a/,Localidades con el servicio de energía eléctrica a/,Parques de juegos infantiles a/,Jardines vecinales a/,Capacidad total de almacenamiento de las presas (millones de metros cúbicos) b/,Capacidad útil de almacenamiento de las presas (millones de metros cúbicos) b/,Volumen anual utilizado de agua de las presas (millones de metros cúbicos) c/
12081,Iliatenco,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1,1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,7,ND,7,ND,ND,1134,ND,ND,ND,ND,ND,ND,8,ND,ND,ND,ND,ND,ND,ND,ND,1233,10,ND,ND,ND,ND,ND,2,ND,ND,ND,ND,ND,ND,ND,ND,1284,12,ND,ND,ND,ND,ND,1,0,0,0,0,0,0,ND,ND,1399,12,ND,ND,0,0,0
12996,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,573,0,573,0,0,0,0,0,0,0,0,0
12997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12998,Otros municipios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13001,Acatlán,109,0,0,0,1,8876,3,ND,ND,4175,ND,ND,ND,0,0,0,109,0,0,0,1,8876,3,ND,ND,4249,ND,ND,ND,0,0,0,111,0,0,0,2,8876,11,ND,ND,4355,ND,ND,ND,0,0,0,111,0,0,0,2,8876,12,ND,ND,4438,ND,ND,ND,0,0,0,60,0,0,0,2,8876,12,ND,ND,ND,ND,ND,ND,0,0,0,114,0,0,0,2,8876,12,1,1,4961,ND,ND,ND,0,0,0
13002,Acaxochitlán,73,0,0,0,3,182,3,ND,ND,4573,ND,ND,ND,0,0,0,74,0,0,0,3,182,3,ND,ND,4605,ND,ND,ND,0,0,0,75,0,0,0,3,182,3,ND,ND,4729,ND,ND,ND,0,0,0,88,0,0,0,3,182,3,ND,ND,4928,ND,ND,ND,0,0,0,32,0,0,0,3,182,3,ND,ND,ND,ND,ND,ND,0,0,0,98,0,0,0,3,182,3,0,0,7757,ND,ND,ND,0,0,0
13003,Actopan,86,0,0,0,ND,ND,ND,ND,ND,13049,ND,ND,ND,0,0,0,88,0,0,0,ND,ND,ND,ND,ND,13345,ND,ND,ND,0,0,0,92,0,0,0,1,ND,2,ND,ND,13953,ND,ND,ND,0,0,0,91,0,0,0,1,ND,2,ND,ND,14249,ND,ND,ND,0,0,0,68,0,0,0,2,ND,3,ND,ND,ND,ND,ND,ND,0,0,0,89,0,0,0,2,ND,3,0,0,14525,ND,ND,ND,0,0,0
13004,Agua Blanca de Iturbide,58,0,0,0,2,156,2,ND,ND,2096,18,ND,ND,0,0,0,57,0,0,0,2,156,2,ND,ND,2225,ND,ND,ND,0,0,0,57,0,0,0,2,156,2,1,1,2330,18,ND,ND,0,0,0,60,0,0,0,2,156,2,1,1,2482,20,ND,ND,0,0,0,4,0,0,0,2,156,2,1,1,2698,20,ND,ND,0,0,0,64,0,0,0,2,156,2,1,1,2828,21,ND,ND,0,0,0
13005,Ajacuba,20,0,0,0,1,ND,2,ND,ND,3731,ND,ND,ND,0,0,0,20,0,0,0,1,ND,2,ND,ND,3759,ND,ND,ND,0,0,0,20,0,0,0,1,ND,2,ND,ND,3901,ND,ND,ND,0,0,0,20,0,0,0,1,ND,2,ND,ND,3991,ND,ND,ND,0,0,0,20,0,0,0,1,ND,2,ND,ND,ND,ND,ND,ND,0,0,0,21,0,0,0,1,ND,2,0,0,5619,ND,ND,ND,0,0,0
13006,Alfajayucan,82,0,0,0,1,ND,1,ND,ND,5436,ND,ND,ND,71,66,44,81,0,0,0,1,ND,1,ND,ND,5730,ND,ND,ND,71,66,56,73,0,0,0,1,ND,1,ND,ND,5922,39,ND,ND,71,66,56,74,0,0,0,1,ND,1,ND,ND,6191,39,ND,ND,71,66,56,25,0,0,0,1,ND,1,ND,ND,6357,39,ND,ND,71,66,41,75,0,0,0,2,100,2,0,0,6517,40,ND,ND,71,66,58
13007,Almoloya,107,0,0,0,ND,ND,ND,ND,ND,3255,ND,ND,ND,0,0,0,107,0,0,0,ND,ND,ND,ND,ND,3276,ND,ND,ND,0,0,0,107,0,0,0,ND,ND,ND,ND,ND,3381,ND,ND,ND,0,0,0,109,0,0,0,ND,ND,ND,ND,ND,3550,ND,ND,ND,0,0,0,17,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,111,0,0,0,0,0,0,0,0,3414,ND,ND,ND,0,0,0
13008,Apan,161,0,0,0,1,ND,1,ND,ND,11193,ND,ND,ND,0,0,0,163,0,0,0,1,ND,1,ND,ND,11494,ND,ND,ND,0,0,0,161,0,0,0,1,ND,1,ND,ND,11860,ND,ND,ND,0,0,0,161,0,0,0,2,ND,2,ND,ND,12253,ND,ND,ND,0,0,0,76,0,0,0,2,ND,2,ND,ND,ND,ND,ND,ND,0,0,0,160,0,0,0,2,ND,2,0,0,13100,ND,ND,ND,0,0,0
13009,El Arenal,71,0,0,0,ND,ND,ND,ND,ND,3409,ND,ND,ND,0,0,0,70,0,0,0,ND,ND,ND,ND,ND,3460,ND,ND,ND,0,0,0,65,0,0,0,ND,ND,ND,ND,ND,3526,ND,ND,ND,0,0,0,65,0,0,0,ND,ND,ND,ND,ND,3729,ND,ND,ND,0,0,0,57,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,64,0,0,0,0,0,0,0,0,4310,ND,ND,ND,0,0,0
13010,Atitalaquia,37,0,0,0,ND,ND,ND,ND,ND,5674,ND,ND,ND,0,0,0,37,0,0,0,ND,ND,ND,ND,ND,5677,ND,ND,ND,0,0,0,38,0,0,0,ND,ND,ND,ND,ND,5999,ND,ND,ND,0,0,0,37,0,0,0,ND,ND,ND,ND,ND,6250,ND,ND,ND,0,0,0,33,0,0,0,ND,ND,ND,ND,ND,ND,ND,4,ND,0,0,0,39,0,0,0,0,0,0,0,0,7802,ND,ND,ND,0,0,0
13011,Atlapexco,62,0,0,0,5,429,5,ND,ND,7572,43,ND,ND,0,0,0,66,0,0,0,6,503,6,ND,ND,7722,ND,ND,ND,0,0,0,51,0,0,0,7,793,7,ND,ND,7912,84,ND,ND,0,0,0,54,0,0,0,7,793,7,ND,ND,8071,86,ND,ND,0,0,0,12,0,0,0,7,793,7,ND,ND,8223,86,ND,ND,0,0,0,56,0,0,0,7,793,7,0,0,8274,85,ND,ND,0,0,0
13012,Atotonilco el Grande,93,0,0,0,ND,ND,ND,1,1,1778,ND,ND,ND,0,0,0,88,0,0,0,ND,ND,ND,1,1,1820,ND,ND,ND,0,0,0,82,0,0,0,1,70,1,1,1,1882,ND,ND,ND,0,0,0,94,0,0,0,1,70,1,1,1,1960,ND,ND,ND,0,0,0,10,0,0,0,2,135,3,1,1,ND,ND,ND,ND,0,0,0,94,0,0,0,2,135,3,1,1,10088,ND,ND,ND,0,0,0
13013,Atotonilco de Tula,49,0,0,0,ND,ND,ND,ND,ND,12264,ND,ND,ND,0,0,0,46,0,0,0,ND,ND,ND,ND,ND,12511,ND,ND,ND,0,0,0,46,0,0,0,ND,ND,ND,ND,ND,12961,ND,ND,ND,0,0,0,45,0,0,0,ND,ND,ND,ND,ND,13449,ND,ND,ND,0,0,0,35,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,45,0,0,0,0,0,0,0,0,8458,ND,ND,ND,0,0,0
13014,Calnali,77,0,0,0,3,366,3,3,3,4148,21,ND,ND,0,0,0,77,0,0,0,3,366,3,3,3,4222,ND,ND,ND,0,0,0,63,0,0,0,4,882,8,3,3,4324,20,ND,ND,0,0,0,66,0,0,0,4,882,8,4,4,4210,17,ND,ND,0,0,0,2,0,0,0,4,882,8,4,4,4266,17,ND,ND,0,0,0,72,0,0,0,4,882,8,4,4,4461,20,ND,ND,0,0,0
13015,Cardonal,52,0,0,0,4,1186,9,1,1,4912,ND,ND,ND,0,0,0,52,0,0,0,4,1186,9,1,1,5216,ND,ND,ND,0,0,0,51,0,0,0,5,1261,10,1,1,5351,47,ND,ND,0,0,0,65,0,0,0,8,1261,13,1,1,5515,47,ND,ND,0,0,0,15,0,0,0,8,1261,13,1,1,5580,48,ND,ND,0,0,0,66,0,0,0,9,1261,14,1,1,5616,47,0,20,0,0,0
13016,Cuautepec de Hinojosa,93,0,0,0,ND,ND,ND,ND,ND,11298,ND,ND,ND,4,1,2,93,0,0,0,ND,ND,ND,ND,ND,11370,ND,ND,ND,4,1,2,99,0,0,0,ND,ND,ND,ND,ND,11557,ND,ND,ND,4,1,2,100,0,0,0,ND,ND,ND,ND,ND,11833,ND,ND,ND,4,1,2,73,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,4,1,2,107,0,0,0,0,0,0,0,0,13850,ND,ND,ND,4,1,1
13017,Chapantongo,250,0,0,0,1,42,3,ND,ND,3249,ND,ND,ND,0,0,0,250,0,0,0,1,42,3,ND,ND,3242,ND,ND,ND,0,0,0,247,0,0,0,1,42,3,ND,ND,3299,ND,ND,ND,0,0,0,247,0,0,0,1,42,3,ND,ND,3445,ND,ND,ND,0,0,0,24,0,0,0,1,42,3,ND,ND,ND,ND,ND,ND,0,0,0,246,0,0,0,1,42,3,0,0,3721,ND,ND,ND,0,0,0
13018,Chapulhuacán,91,0,0,0,ND,ND,ND,ND,ND,4302,ND,ND,ND,0,0,0,89,0,0,0,1,898,6,ND,ND,4686,ND,ND,ND,0,0,0,91,0,0,0,1,898,6,ND,ND,4851,43,ND,ND,0,0,0,93,0,0,0,2,898,10,ND,ND,5342,43,ND,ND,0,0,0,3,0,0,0,3,898,11,ND,ND,5427,43,ND,ND,0,0,0,93,0,0,0,3,898,11,0,0,5554,44,1,1,0,0,0
13019,Chilcuautla,106,0,0,0,ND,ND,ND,ND,ND,4015,ND,ND,ND,0,0,0,107,0,0,0,ND,ND,ND,ND,ND,4155,ND,ND,ND,0,0,0,102,0,0,0,ND,ND,ND,ND,ND,4300,ND,ND,ND,0,0,0,103,0,0,0,ND,ND,ND,ND,ND,4542,ND,ND,ND,0,0,0,11,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,104,0,0,0,0,0,0,0,0,4998,ND,ND,ND,0,0,0
13020,Eloxochitlán,27,0,0,0,ND,ND,ND,ND,ND,964,9,ND,ND,0,0,0,27,0,0,0,ND,ND,ND,ND,ND,993,ND,ND,ND,0,0,0,28,0,0,0,ND,ND,ND,ND,ND,991,13,ND,ND,0,0,0,28,0,0,0,ND,ND,ND,ND,ND,1018,13,ND,ND,0,0,0,3,0,0,0,ND,ND,ND,ND,ND,1013,19,ND,ND,0,0,0,28,0,0,0,0,0,0,0,0,1030,14,ND,ND,0,0,0
13021,Emiliano Zapata,15,0,0,0,ND,ND,ND,ND,ND,3780,ND,ND,ND,0,0,0,15,0,0,0,ND,ND,ND,ND,ND,3804,ND,ND,ND,0,0,0,15,0,0,0,ND,ND,ND,ND,ND,3835,ND,ND,ND,0,0,0,15,0,0,0,ND,ND,ND,ND,ND,3964,ND,ND,ND,0,0,0,10,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,15,0,0,0,0,0,0,0,0,3941,ND,ND,ND,0,0,0
13022,Epazoyucan,6,0,0,0,ND,ND,ND,1,4,2676,ND,ND,ND,0,0,0,6,0,0,0,ND,ND,ND,1,4,2668,ND,ND,ND,0,0,0,6,0,0,0,1,ND,1,1,4,2723,ND,ND,ND,0,0,0,6,0,0,0,1,ND,1,1,4,2755,ND,ND,ND,0,0,0,6,0,0,0,1,ND,1,1,4,ND,ND,ND,ND,0,0,0,7,0,0,0,1,ND,1,1,4,3199,ND,ND,ND,0,0,0
13023,Francisco I. Madero,6,0,0,0,ND,ND,ND,ND,ND,7657,ND,ND,ND,0,0,0,6,0,0,0,ND,ND,ND,ND,ND,7883,ND,ND,ND,0,0,0,6,0,0,0,ND,ND,ND,ND,ND,8119,ND,ND,ND,0,0,0,6,0,0,0,ND,ND,ND,ND,ND,8521,ND,ND,ND,0,0,0,7,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,8,0,0,0,0,0,0,0,0,9137,ND,ND,ND,0,0,0
13024,Huasca de Ocampo,191,0,0,0,1,ND,1,1,4,4165,ND,ND,ND,0,0,0,163,0,0,0,1,ND,1,1,4,4291,ND,ND,ND,0,0,0,168,0,0,0,2,ND,4,1,4,4475,ND,ND,ND,0,0,0,171,0,0,0,2,ND,4,1,4,4657,ND,ND,ND,0,0,0,31,0,0,0,2,ND,4,1,4,ND,ND,ND,ND,0,0,0,177,0,0,0,2,ND,4,1,4,4737,ND,ND,ND,0,0,0
13025,Huautla,126,0,0,0,2,321,2,ND,ND,968,50,ND,ND,0,0,0,127,0,0,0,2,321,2,ND,ND,989,ND,ND,ND,0,0,0,128,0,0,0,6,749,13,1,1,1052,1,ND,ND,0,0,0,128,0,0,0,7,749,14,1,1,1076,1,ND,ND,0,0,0,48,0,0,0,7,749,14,1,1,1099,1,ND,ND,0,0,0,131,0,0,0,7,749,14,1,1,1117,1,ND,ND,0,0,0
13026,Huazalingo,99,0,0,0,2,255,2,ND,ND,21888,25,ND,ND,0,0,0,100,0,0,0,2,255,2,ND,ND,23278,ND,ND,ND,0,0,0,100,0,0,0,2,255,2,ND,ND,23257,245,ND,ND,0,0,0,100,0,0,0,3,255,3,ND,ND,2351,27,ND,ND,0,0,0,2,0,0,0,3,255,3,ND,ND,2375,27,ND,ND,0,0,0,101,0,0,0,3,255,3,0,0,2421,27,ND,ND,0,0,0
13027,Huehuetla,89,0,0,0,3,591,3,ND,ND,3823,24,ND,ND,0,0,0,89,0,0,0,4,857,5,ND,ND,3830,ND,ND,ND,0,0,0,72,0,0,0,7,1872,9,ND,ND,3831,42,ND,ND,0,0,0,72,0,0,0,8,1872,10,ND,ND,3856,44,ND,ND,0,0,0,3,0,0,0,8,1872,10,ND,ND,3898,44,ND,ND,0,0,0,75,0,0,0,8,1872,10,0,0,4084,44,ND,ND,0,0,0
13028,Huejutla de Reyes,191,0,0,0,3,1342,16,4,7,11967,147,ND,ND,0,0,0,193,0,0,0,3,1342,16,4,7,12826,ND,ND,ND,0,0,0,170,0,0,0,6,1530,19,5,8,13803,7,ND,ND,0,0,0,169,0,0,0,6,1530,19,5,8,34605,218,ND,ND,0,0,0,43,0,0,0,9,1627,22,7,11,35490,217,ND,ND,0,0,0,177,0,0,0,9,1627,22,9,13,35815,199,ND,ND,0,0,0
13029,Huichapan,130,0,0,0,1,ND,2,ND,ND,11985,ND,ND,ND,0,0,0,128,0,0,0,1,ND,2,ND,ND,12875,ND,ND,ND,0,0,0,121,0,0,0,1,ND,2,1,1,13327,40,ND,ND,0,0,0,121,0,0,0,1,ND,2,2,2,13724,40,ND,ND,0,0,0,39,0,0,0,1,ND,2,2,2,13890,40,ND,ND,0,0,0,119,0,0,0,1,ND,2,2,2,14154,40,ND,ND,0,0,0
13030,Ixmiquilpan,154,0,0,0,3,867,4,1,3,25859,ND,ND,ND,0,0,0,156,0,0,0,3,867,4,1,3,27158,ND,ND,ND,0,0,0,149,0,0,0,5,867,6,1,3,28195,91,ND,ND,0,0,0,152,0,0,0,5,867,6,4,4,29722,91,ND,ND,0,0,0,86,0,0,0,7,867,8,6,6,30670,303,ND,ND,0,0,0,159,0,0,0,11,1288,12,8,8,31433,95,ND,ND,0,0,0
13031,Jacala de Ledezma,152,0,0,0,3,4103,4,ND,ND,4770,ND,ND,ND,0,0,0,151,0,0,0,3,4103,4,ND,ND,4114,ND,ND,ND,0,0,0,151,0,0,0,4,4525,5,ND,ND,4152,23,ND,ND,0,0,0,151,0,0,0,5,4725,5,ND,ND,4229,23,ND,ND,0,0,0,4,0,0,0,5,4725,5,ND,ND,4246,23,ND,ND,0,0,0,151,0,0,0,5,4725,5,0,0,4330,23,ND,ND,0,0,0
13032,Jaltocán,31,0,0,0,ND,ND,ND,1,3,7389,17,ND,ND,0,0,0,32,0,0,0,ND,ND,ND,1,3,7594,ND,ND,ND,0,0,0,24,0,0,0,ND,ND,ND,1,3,7813,81,ND,ND,0,0,0,24,0,0,0,ND,ND,ND,1,3,7818,81,ND,ND,0,0,0,5,0,0,0,ND,ND,ND,1,3,7943,81,ND,ND,0,0,0,25,0,0,0,0,0,0,1,3,8034,83,ND,ND,0,0,0
13033,Juárez Hidalgo,9,0,0,0,ND,ND,ND,ND,ND,1291,13,ND,ND,0,0,0,9,0,0,0,ND,ND,ND,ND,ND,1318,ND,ND,ND,0,0,0,9,0,0,0,ND,ND,ND,1,1,1304,5,ND,ND,0,0,0,9,0,0,0,ND,ND,ND,1,1,1216,4,ND,ND,0,0,0,1,0,0,0,ND,ND,ND,1,1,1000,4,ND,ND,0,0,0,9,0,0,0,0,0,0,1,1,990,4,ND,ND,0,0,0
13034,Lolotla,158,0,0,0,2,499,2,ND,ND,5793,22,ND,ND,0,0,0,158,0,0,0,2,499,2,ND,ND,5868,ND,ND,ND,0,0,0,157,0,0,0,2,499,2,ND,ND,5994,63,ND,ND,0,0,0,159,0,0,0,2,499,2,ND,ND,6105,71,ND,ND,0,0,0,5,0,0,0,2,499,2,ND,ND,7118,71,ND,ND,0,0,0,159,0,0,0,2,499,2,0,0,7181,76,ND,ND,0,0,0
13035,Metepec,78,0,0,0,ND,ND,ND,ND,ND,2411,19,ND,ND,0,0,0,79,0,0,0,ND,ND,ND,ND,ND,2594,ND,ND,ND,0,0,0,69,0,0,0,ND,ND,ND,ND,ND,2594,14,ND,ND,0,0,0,71,0,0,0,ND,ND,ND,ND,ND,2760,14,ND,ND,0,0,0,39,0,0,0,ND,ND,ND,ND,ND,2939,14,ND,ND,0,0,0,72,0,0,0,0,0,0,0,0,3048,14,ND,ND,0,0,0
13036,San Agustín Metzquititlán,38,0,0,0,ND,ND,ND,ND,ND,5864,ND,ND,ND,0,0,0,38,0,0,0,ND,ND,ND,ND,ND,5999,ND,ND,ND,0,0,0,38,0,0,0,ND,ND,ND,ND,ND,6104,29,ND,ND,0,0,0,42,0,0,0,ND,ND,ND,ND,ND,6137,32,ND,ND,0,0,0,6,0,0,0,ND,ND,ND,ND,ND,2602,32,ND,ND,0,0,0,43,0,0,0,0,0,0,0,0,2649,33,ND,ND,0,0,0
13037,Metztitlán,80,0,0,0,ND,ND,ND,ND,ND,3564,28,ND,ND,0,0,0,80,0,0,0,ND,ND,ND,ND,ND,4076,ND,ND,ND,0,0,0,80,0,0,0,ND,ND,ND,ND,ND,4492,54,ND,ND,0,0,0,84,0,0,0,ND,ND,ND,ND,ND,6786,90,ND,ND,0,0,0,35,0,0,0,ND,ND,ND,ND,ND,6596,90,ND,ND,0,0,0,85,0,0,0,0,0,0,0,0,9040,91,ND,ND,0,0,0
13038,Mineral del Chico,94,1,50,1,1,68,1,ND,ND,1773,ND,ND,ND,0,0,0,96,1,50,1,1,68,1,ND,ND,1799,ND,ND,ND,0,0,0,102,1,50,2,1,68,1,ND,ND,1824,ND,ND,ND,0,0,0,106,1,50,2,1,68,1,ND,ND,1978,ND,ND,ND,0,0,0,7,1,50,2,1,68,1,ND,ND,ND,ND,ND,ND,0,0,0,111,1,50,2,1,68,1,1,1,2818,ND,ND,ND,0,0,0
13039,Mineral del Monte,35,0,0,0,1,ND,1,ND,ND,3518,ND,ND,ND,0,0,0,35,0,0,0,1,ND,1,ND,ND,3505,ND,ND,ND,0,0,0,35,0,0,0,1,ND,1,ND,ND,3546,ND,ND,ND,0,0,0,35,0,0,0,1,ND,1,ND,ND,3576,ND,ND,ND,0,0,0,3,0,0,0,1,ND,1,ND,ND,ND,ND,ND,ND,0,0,0,35,1,50,2,1,ND,1,0,0,3294,ND,1,1,0,0,0
13040,La Misión,127,0,0,0,ND,ND,ND,ND,ND,1981,ND,ND,ND,0,0,0,127,0,0,0,ND,ND,ND,ND,ND,2720,ND,ND,ND,0,0,0,127,0,0,0,ND,ND,ND,ND,ND,2853,37,ND,ND,0,0,0,127,0,0,0,ND,ND,ND,ND,ND,2996,9,ND,ND,0,0,0,2,0,0,0,ND,ND,ND,ND,ND,3038,9,ND,ND,0,0,0,127,0,0,0,0,0,0,0,0,699,9,ND,ND,0,0,0
13041,Mixquiahuala de Juárez,12,0,0,0,ND,ND,ND,ND,ND,10592,ND,ND,ND,0,0,0,12,0,0,0,ND,ND,ND,ND,ND,10898,ND,ND,ND,0,0,0,13,0,0,0,ND,ND,ND,ND,ND,11340,ND,ND,ND,0,0,0,15,0,0,0,ND,ND,ND,ND,ND,11852,ND,ND,ND,0,0,0,10,0,0,0,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,0,15,0,0,0,0,0,0,0,0,12063,ND,ND,ND,0,0,0
13042,Molango de Escamilla,77,0,0,0,3,558,3,ND,ND,1415,22,ND,ND,0,0,0,77,0,0,0,3,558,3,ND,ND,1450,ND,ND,ND,0,0,0,78,0,0,0,4,708,4,1,1,1489,1,ND,ND,0,0,0,80,0,0,0,4,708,4,1,1,1532,1,ND,ND,0,0,0,4,0,0,0,4,708,4,1,1,1557,1,ND,ND,0,0,0,80,0,0,0,4,708,4,1,1,1900,3,ND,ND,0,0,0
13043,Nicolás Flores,54,0,0,0,ND,ND,ND,ND,ND,1140,ND,ND,ND,0,0,0,54,0,0,0,ND,ND,ND,ND,ND,1574,ND,ND,ND,0,0,0,56,0,0,0,1,2,1,ND,ND,1737,29,ND,ND,0,0,0,59,0,0,0,1,2,1,ND,ND,1809,29,ND,ND,0,0,0,3,0,0,0,1,2,1,ND,ND,1848,29,ND,ND,0,0,0,62,0,0,0,2,10,9,0,0,1899,29,ND,ND,0,0,0
13044,Nopala de Villagrán,335,0,0,0,ND,ND,ND,ND,ND,5158,ND,ND,ND,0,0,0,335,0,0,0,ND,ND,ND,ND,ND,5269,ND,ND,ND,0,0,0,317,0,0,0,1,ND,1,ND,ND,5578,35,ND,ND,0,0,0,318,0,0,0,1,ND,1,ND,ND,5709,35,ND,ND,0,0,0,13,0,0,0,2,ND,2,ND,ND,5860,35,ND,ND,0,0,0,317,0,0,0,2,ND,2,0,0,6059,35,ND,ND,0,0,0
13045,Omitlán de Juárez,30,0,0,0,ND,ND,ND,ND,ND,1260,ND,ND,ND,0,0,0,31,0,0,0,ND,ND,ND,ND,ND,1323,ND,ND,ND,0,0,0,32,0,0,0,1,ND,4,ND,ND,1363,ND,ND,ND,0,0,0,32,0,0,0,2,ND,6,ND,ND,1412,ND,ND,ND,0,0,0,3,0,0,0,2,ND,6,ND,ND,ND,ND,ND,ND,0,0,0,37,0,0,0,2,ND,6,0,0,2837,ND,3,1,0,0,0
13046,San Felipe Orizatlán,121,0,0,0,1,92,2,2,8,2071,98,ND,ND,0,0,0,121,0,0,0,1,92,2,2,8,2134,ND,ND,ND,0,0,0,120,0,0,0,5,520,8,2,8,2200,5,ND,ND,0,0,0,121,0,0,0,5,520,8,3,9,2428,5,ND,ND,0,0,0,17,0,0,0,5,520,8,3,9,2487,5,ND,ND,0,0,0,130,0,0,0,5,520,8,3,9,2521,4,ND,ND,0,0,0
