Clave,Nombre,Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos),Usuarios de energía eléctrica a/,Volumen de las ventas de energía eléctrica (megawatts-hora),Valor de las ventas de energía eléctrica (miles de pesos),Subestaciones de transmisión a/,Subestaciones de distribución a/,Transformadores de distribución a/,Inversión pública ejercida en obras de electrificación (miles de pesos)
11012,Cuerámaro,9617,39575,25843,0,1,478,0,9481,49587,38142,0,1,505,0,10549,45976,42147,0,1,527,198,9969,42400,42294,0,1,529,0,9747,49408,39755,ND,ND,ND,ND,10566,43651,39779,ND,ND,ND,ND
11013,Doctor Mora,3325,1078,1221,0,0,190,0,4533,6329,8949,0,0,190,179,4839,6564,10025,0,0,157,1599,5008,6573,10371,0,0,157,869,5209,6722,8833,ND,ND,ND,ND,5535,6851,9345,ND,ND,ND,ND
11014,Dolores Hidalgo Cuna de la Independencia Nacional,30231,128774,91636,0,2,1530,0,31980,170738,155593,0,2,1681,680,33652,171619,177017,0,2,1724,0,34927,166238,178617,0,2,1787,340,35282,171401,159363,ND,ND,ND,ND,34822,177790,182836,ND,ND,ND,ND
11015,Guanajuato,41582,310392,325671,0,2,1451,1227,45375,183009,271093,0,2,1455,3906,47723,208813,323235,0,2,1526,2117,49636,213859,381018,0,2,1660,848,50679,202279,273182,ND,ND,ND,ND,51532,190609,288611,ND,ND,ND,ND
11016,Huanímaro,5619,23278,14800,0,1,204,0,5237,28786,21668,0,1,212,279,6195,26842,25545,0,1,212,182,6067,26350,26903,0,1,213,446,6169,31643,24727,ND,ND,ND,ND,5945,67452,82249,ND,ND,ND,ND
11017,Irapuato,132652,742283,733220,1,4,3933,3189,132115,766019,995063,1,4,3965,4490,139270,789188,1081507,1,4,4240,3985,147911,803123,1306334,1,5,4343,6536,148414,832602,984886,ND,ND,ND,ND,156548,903764,1189882,ND,ND,ND,ND
11018,Jaral del Progreso,11223,48310,41084,0,1,338,1260,11829,49270,45575,0,1,356,0,12067,49145,52455,0,1,356,138,12496,49333,59278,0,1,363,0,12326,57173,51414,ND,ND,ND,ND,13511,54238,56160,ND,ND,ND,ND
11019,Jerécuaro,12445,12320,13585,0,0,370,0,14316,21629,27897,0,0,371,1051,14619,22850,30883,0,0,371,1988,15002,23522,33920,0,0,374,4048,15125,23821,28320,ND,ND,ND,ND,15628,23436,29617,ND,ND,ND,ND
11020,León,345377,1865572,2012401,4,9,9579,3614,386737,1793721,2762714,4,9,9579,5262,398940,1843769,2950580,4,9,10416,7177,413474,1762365,3222155,4,11,10761,17443,411127,1952901,2663391,ND,ND,ND,ND,435890,2180048,2985104,ND,ND,ND,ND
11021,Moroleón,22965,54678,67053,0,1,451,0,21862,49098,85659,0,1,451,141,22164,50115,89521,0,1,474,0,23352,51844,101477,0,0,478,0,24770,52542,80787,ND,ND,ND,ND,23549,45745,75260,ND,ND,ND,ND
11022,Ocampo,5777,5109,5538,0,1,343,0,6474,11753,17512,0,1,357,351,6620,10554,16598,0,1,366,1853,6500,10310,17323,0,1,367,524,6642,10445,14200,ND,ND,ND,ND,6878,11429,16148,ND,ND,ND,ND
11023,Pénjamo,49373,223877,177504,0,3,1023,0,35979,177746,156348,0,3,1067,3191,36427,168052,165899,0,3,1117,2715,44728,208047,223228,0,1,1181,5024,45058,235001,201386,ND,ND,ND,ND,46261,152774,140386,ND,ND,ND,ND
11024,Pueblo Nuevo,4932,10569,10219,0,1,425,0,4324,11586,14827,0,1,433,0,4475,11069,15283,0,1,443,804,4554,11455,17206,0,3,443,0,4586,12008,13863,ND,ND,ND,ND,4252,10895,14670,ND,ND,ND,ND
11025,Purísima del Rincón,12050,27025,29419,0,1,447,0,15184,66779,100681,0,1,477,1597,17693,68339,106440,0,1,522,735,17006,59733,107279,0,1,537,57,17591,76939,99737,ND,ND,ND,ND,17652,94816,142090,ND,ND,ND,ND
11026,Romita,13175,64450,41254,0,1,335,1915,16205,79541,50741,0,1,354,1555,16760,76550,79057,0,1,363,0,16503,79727,90709,0,1,390,0,16787,83987,82403,ND,ND,ND,ND,16818,77645,86556,ND,ND,ND,ND
11027,Salamanca,75841,868757,810721,2,2,2103,71,80581,302516,425446,2,2,2183,5336,83425,272472,395529,2,2,2311,8592,84672,281723,455158,0,1,2374,1578,83856,288351,350860,ND,ND,ND,ND,85770,335461,415681,ND,ND,ND,ND
11028,Salvatierra,36669,74764,76065,0,1,776,0,34532,79519,96969,0,1,791,0,35338,75922,101737,0,1,807,550,35599,76170,107504,2,3,817,1896,35413,84233,90090,ND,ND,ND,ND,35696,80551,95465,ND,ND,ND,ND
11029,San Diego de la Unión,6079,5814,6028,0,1,478,454,7863,23257,25055,0,1,478,366,8143,23385,27462,0,1,403,1506,8345,24065,31107,0,1,403,1710,8583,26380,29276,ND,ND,ND,ND,8775,23250,26300,ND,ND,ND,ND
11030,San Felipe,21499,62324,46283,0,1,1426,3393,24308,88906,79818,0,1,1460,7832,25236,85283,87291,0,1,1528,9216,25878,90050,102634,0,1,1675,3526,25944,95023,94705,ND,ND,ND,ND,26620,95290,104859,ND,ND,ND,ND
11031,San Francisco del Rincón,27614,216618,210504,0,3,975,0,32588,210951,285101,0,3,1011,793,34707,205064,293907,0,3,1079,1282,36451,190705,313662,0,1,1122,2246,35058,202314,259607,ND,ND,ND,ND,38086,191709,274207,ND,ND,ND,ND
11032,San José Iturbide,17010,69553,60864,0,2,539,0,18252,370230,412508,0,2,539,1001,19478,384322,449557,0,2,518,5650,20614,387957,562257,0,3,518,9323,21328,380091,392841,ND,ND,ND,ND,22830,420082,508593,ND,ND,ND,ND
11033,San Luis de la Paz,18047,133046,79834,1,2,1284,289,25394,101689,111122,1,2,1284,1125,26669,106879,120464,1,2,1213,5615,27946,118655,146520,0,2,1213,7870,28371,147376,158034,ND,ND,ND,ND,29416,155536,200516,ND,ND,ND,ND
11034,Santa Catarina,1030,215,233,0,0,157,390,1303,1688,2567,0,0,197,0,1345,1727,2814,0,1,199,0,1337,1672,2880,0,1,199,391,1365,1865,2782,ND,ND,ND,ND,1442,1751,2665,ND,ND,ND,ND
11035,Santa Cruz de Juventino Rosas,16252,35953,31180,0,1,643,1018,18147,70822,79222,0,1,666,0,18899,77695,89888,0,1,697,0,19661,78532,103669,0,1,741,0,19664,80060,81847,ND,ND,ND,ND,19937,75649,88447,ND,ND,ND,ND
11036,Santiago Maravatío,3048,3644,3716,0,0,274,0,2533,5605,6847,0,0,274,215,2595,7159,9623,0,0,274,847,2602,9685,14860,0,0,274,322,2627,9308,11191,ND,ND,ND,ND,3033,7186,8364,ND,ND,ND,ND
11037,Silao de la Victoria,30530,378793,348163,1,3,1441,483,41146,370902,441668,1,3,1483,2031,44870,401181,502809,1,3,1511,3443,46131,404355,609219,1,4,1583,4622,47365,413107,452504,ND,ND,ND,ND,48107,470111,596070,ND,ND,ND,ND
11038,Tarandacuao,3944,3498,3554,0,1,266,0,3893,7555,9683,0,1,268,0,4088,7451,10393,0,1,269,483,4407,7890,11397,0,1,277,788,4405,9041,10643,ND,ND,ND,ND,4630,9574,11476,ND,ND,ND,ND
11039,Tarimoro,12894,38610,28405,0,1,476,0,13005,37904,36055,0,1,490,0,13397,38322,40352,0,1,507,0,13562,37549,42075,0,1,519,836,13698,43423,39823,ND,ND,ND,ND,13953,36805,38944,ND,ND,ND,ND
11040,Tierra Blanca,2752,634,700,0,0,357,538,3016,3668,5039,0,0,357,1209,3150,3638,5394,0,0,213,654,3255,3833,5989,0,0,213,0,3415,5330,7144,ND,ND,ND,ND,3523,4414,6204,ND,ND,ND,ND
11041,Uriangato,19332,33435,39642,0,0,398,0,21898,42962,68344,0,0,398,126,22503,43850,72781,0,0,399,0,23508,46541,83870,0,0,402,1040,21537,49784,70650,ND,ND,ND,ND,24005,58113,87738,ND,ND,ND,ND
11042,Valle de Santiago,43188,135259,99371,0,3,706,0,43113,152191,139690,0,3,765,0,44509,144037,148037,0,3,787,0,45503,158724,168996,0,3,806,0,46054,191236,157551,ND,ND,ND,ND,46503,155411,152518,ND,ND,ND,ND
11043,Victoria,3207,1025,1220,0,0,306,1414,3523,39245,7005,0,0,306,0,4129,4838,7475,0,1,160,0,3724,4324,6942,0,1,160,104,3826,4867,6645,ND,ND,ND,ND,4062,5002,7195,ND,ND,ND,ND
11044,Villagrán,13929,197894,173571,0,1,645,0,15564,1123025,1084599,0,1,688,0,16141,1374292,1268962,0,1,705,215,16489,1430069,1707917,0,1,762,0,16573,1503552,1186462,ND,ND,ND,ND,17574,1691663,1814190,ND,ND,ND,ND
11045,Xichú,1724,1201,1338,0,0,341,0,2459,2390,3429,0,0,341,1793,2570,2687,4060,0,1,234,1807,2623,2855,4580,0,1,234,1707,2686,2920,4074,ND,ND,ND,ND,2880,3113,4676,ND,ND,ND,ND
11046,Yuriria,31271,56861,52874,0,0,306,0,19972,51628,58132,0,0,306,0,20295,48988,60956,0,0,306,521,26769,60049,78426,0,1,307,688,27013,66639,70341,ND,ND,ND,ND,26878,60503,72636,ND,ND,ND,ND
11996,No especificado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,ND,ND,ND,ND
11997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11998,Otros municipios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12001,Acapulco de Juárez,ND,ND,ND,3,14,5553,ND,199762,980457,1517338,3,14,5681,ND,201513,1196046,1979040,3,14,ND,ND,209063,1181255,2265662,3,14,5735,0,217694,1172541,1682003,3,14,5961,ND,223453,1221848,1973027,3,15,5961,ND
12002,Ahuacuotzingo,ND,ND,ND,0,0,170,ND,4610,2672,3666,0,0,174,ND,4724,4226,6182,ND,ND,ND,ND,4840,4263,6255,0,0,177,0,5063,4428,6124,0,0,197,ND,5016,4610,5584,0,0,196,ND
12003,Ajuchitlán del Progreso,ND,ND,ND,0,0,291,ND,8295,8680,11049,0,0,298,ND,8509,14145,19462,ND,ND,ND,ND,8602,15150,20770,0,0,301,0,8791,15408,16237,0,0,321,ND,8850,16405,17301,0,0,322,ND
12004,Alcozauca de Guerrero,ND,ND,ND,0,0,118,ND,2480,1926,2906,0,0,121,ND,2641,3349,5403,ND,ND,ND,ND,2694,3664,6107,0,0,124,2707,2871,3524,4493,0,0,144,ND,3319,3221,4360,0,0,144,ND
12005,Alpoyeca,ND,ND,ND,0,0,40,ND,1913,1608,2123,0,0,41,ND,1976,2623,3720,ND,ND,ND,ND,2025,2824,4086,0,0,44,0,2058,2862,3296,0,0,64,ND,2104,2670,3118,0,0,64,ND
12006,Apaxtla,ND,ND,ND,0,1,105,ND,4112,7224,12984,0,1,107,ND,4195,9112,16097,0,1,ND,ND,4264,9202,17662,0,1,110,0,4352,9034,15464,0,1,130,ND,4039,5476,7519,0,0,130,ND
12007,Arcelia,ND,ND,ND,0,1,251,ND,10000,12882,19072,0,1,257,ND,10168,20955,32518,0,1,ND,ND,10412,32581,56791,0,1,260,0,10724,52139,70219,0,1,280,ND,10728,63927,82418,0,2,284,ND
12008,Atenango del Río,ND,ND,ND,0,0,66,ND,2389,2065,2699,0,0,68,ND,2474,3254,4655,ND,ND,ND,ND,2527,3249,4700,0,0,71,0,3148,3521,4141,0,0,91,ND,2594,3376,4804,0,0,91,ND
12009,Atlamajalcingo del Monte,ND,ND,ND,0,0,59,ND,793,486,813,0,0,60,ND,813,921,1656,ND,ND,ND,ND,820,860,1530,0,0,63,6233,912,879,1170,0,0,83,ND,935,1117,1816,0,0,83,ND
12010,Atlixtac,ND,ND,ND,0,1,144,ND,3113,1850,2940,0,1,147,ND,3359,3406,5752,0,1,ND,ND,3311,3362,5802,0,1,150,5392,3618,3513,4662,0,1,170,ND,3551,3979,5746,0,1,170,ND
12011,Atoyac de Álvarez,ND,ND,ND,0,0,475,ND,17422,19863,32041,0,0,486,ND,17324,31000,50830,ND,ND,ND,ND,17448,32347,56338,0,0,489,0,18246,32196,53224,0,0,509,ND,17720,31565,42504,0,0,510,ND
12012,Ayutla de los Libres,ND,ND,ND,0,0,392,ND,11022,8832,12370,0,0,401,ND,11530,14307,22079,ND,ND,ND,ND,11137,13667,21839,0,0,404,4909,11301,14844,17916,0,0,424,ND,11536,16597,22266,0,0,424,ND
12013,Azoyú,ND,ND,ND,0,1,248,ND,3445,3707,4995,0,1,254,ND,3545,6314,8585,0,1,ND,ND,3437,4977,7478,0,1,257,0,3730,5123,6320,0,1,277,ND,3251,4837,6115,0,1,276,ND
12014,Benito Juárez,ND,ND,ND,0,1,126,ND,5575,6828,10066,0,1,129,ND,5652,10798,16234,0,1,ND,ND,5584,10565,17126,0,1,132,0,5681,10947,13151,0,1,152,ND,5764,11022,14476,0,1,166,ND
12015,Buenavista de Cuéllar,ND,ND,ND,0,0,90,ND,4387,4336,7410,0,0,92,ND,4469,7014,12447,ND,ND,ND,ND,4595,7343,13831,0,0,95,0,4592,7360,10470,0,0,115,ND,4654,7335,10986,0,0,122,ND
12016,Coahuayutla de José María Izazaga,ND,ND,ND,0,0,116,ND,165,85,101,0,0,119,ND,161,155,230,ND,ND,ND,ND,314,193,269,0,0,122,0,498,248,241,0,0,142,ND,515,392,500,0,0,142,ND
12017,Cocula,ND,ND,ND,0,0,125,ND,4620,4172,6244,0,0,128,ND,4758,6674,10405,ND,ND,ND,ND,4839,6979,11023,0,0,131,0,4658,7144,8803,0,0,151,ND,4740,7431,9660,0,0,151,ND
12018,Copala,ND,ND,ND,0,0,98,ND,3179,3965,5697,0,0,55,ND,3166,7091,9911,ND,ND,ND,ND,3218,5908,9003,0,0,58,0,3117,5874,7552,0,0,78,ND,3056,6095,8215,0,0,80,ND
12019,Copalillo,ND,ND,ND,0,0,108,ND,2505,2021,2501,0,0,110,ND,2635,2989,3949,ND,ND,ND,ND,2731,3000,4018,0,0,112,5499,2863,3178,3411,0,0,132,ND,2948,3289,3919,0,0,132,ND
12020,Copanatoyac,ND,ND,ND,0,0,108,ND,2900,1573,2140,0,0,110,ND,3177,2579,3888,ND,ND,ND,ND,3075,2744,4175,0,0,114,3564,3112,3417,3444,0,0,134,ND,3169,4133,6483,0,0,134,ND
12021,Coyuca de Benítez,ND,ND,ND,0,1,517,ND,17697,19614,32516,0,1,529,ND,17602,30498,50096,0,1,ND,ND,17637,30503,50636,0,1,532,0,17753,30985,39429,0,1,552,ND,18256,31342,42210,0,1,556,ND
12022,Coyuca de Catalán,ND,ND,ND,0,0,343,ND,12225,18228,24345,0,0,351,ND,12223,26226,37743,0,1,ND,ND,12780,27994,41070,0,1,354,0,13062,33456,36333,0,1,374,ND,13327,49846,51119,0,1,375,ND
12023,Cuajinicuilapa,ND,ND,ND,0,0,191,ND,6325,9379,13227,0,0,195,ND,6471,15240,22476,ND,ND,ND,ND,6577,12018,20636,0,0,198,0,6076,12406,16832,0,0,218,ND,6245,12486,17697,0,0,217,ND
12024,Cualác,ND,ND,ND,0,0,47,ND,1577,1085,1438,0,0,48,ND,1612,1947,2816,ND,ND,ND,ND,1621,2022,2917,0,0,51,4086,1702,2004,2305,0,0,71,ND,1683,2004,2433,0,0,71,ND
12025,Cuautepec,ND,ND,ND,0,0,106,ND,2525,2762,3571,0,0,108,ND,2538,4869,6307,ND,ND,ND,ND,2510,3458,4790,0,0,111,0,2748,3416,3825,0,0,131,ND,2419,3240,3835,0,0,132,ND
12026,Cuetzala del Progreso,ND,ND,ND,0,0,74,ND,2824,1666,2436,0,0,76,ND,2881,2913,4381,ND,ND,ND,ND,2945,2953,4464,0,0,79,0,2962,2852,3620,0,0,99,ND,2999,2859,3789,0,0,99,ND
12027,Cutzamala de Pinzón,ND,ND,ND,0,0,204,ND,7733,8168,10348,0,0,209,ND,8226,13861,19398,ND,ND,ND,ND,8291,13448,18517,0,0,212,0,8577,14506,15340,0,0,232,ND,8884,17169,18233,0,0,232,ND
12028,Chilapa de Álvarez,ND,ND,ND,0,1,758,ND,26223,17727,28932,0,1,775,ND,27170,30590,50754,0,1,ND,ND,28274,31900,55053,0,1,778,1015,31956,36056,44419,0,1,798,ND,29057,33973,52714,0,1,799,ND
12029,Chilpancingo de los Bravo,ND,ND,ND,1,3,1510,ND,64723,102349,180533,1,3,1545,ND,67393,153210,281107,1,3,ND,ND,70312,159923,321143,1,3,1554,0,75864,161782,236689,1,3,1694,ND,75177,168340,258192,1,3,1708,ND
12030,Florencio Villarreal,ND,ND,ND,0,1,133,ND,4150,5869,8989,0,1,136,ND,4209,10034,16053,0,1,ND,ND,4275,7938,13862,0,1,139,0,4478,8329,11486,0,1,159,ND,4062,7779,11450,0,1,160,ND
12031,General Canuto A. Neri,ND,ND,ND,0,0,62,ND,1626,1113,1505,0,0,63,ND,1649,1861,2709,ND,ND,ND,ND,1678,1929,2815,0,0,66,0,1917,1748,2038,0,0,86,ND,1701,1665,2053,0,0,86,ND
12032,General Heliodoro Castillo,ND,ND,ND,0,0,253,ND,3678,2013,3014,0,0,259,ND,3667,3748,5885,ND,ND,ND,ND,3809,4082,6611,0,0,262,0,4117,4459,5927,0,0,282,ND,4938,4408,6246,0,0,282,ND
12033,Huamuxtitlán,ND,ND,ND,0,0,101,ND,4264,3514,4907,0,0,103,ND,4423,6018,8951,0,1,ND,ND,4529,6347,9449,0,1,106,0,4746,6616,7848,0,1,126,ND,4644,6906,8669,0,1,123,ND
12034,Huitzuco de los Figueroa,ND,ND,ND,0,0,495,ND,12717,12279,17858,0,0,506,ND,13058,14258,23962,ND,ND,ND,ND,13301,20328,32242,0,0,509,0,16639,20513,25274,0,0,529,ND,14113,21038,34284,0,0,536,ND
12035,Iguala de la Independencia,ND,ND,ND,0,2,1781,ND,47733,92090,151371,0,1,1822,ND,49335,1745057,229964,0,1,ND,ND,50524,141593,259715,0,1,1825,0,55239,143383,249585,0,1,1965,ND,54152,151258,267115,0,2,1992,ND
12036,Igualapa,ND,ND,ND,0,0,68,ND,1929,2368,3418,0,0,70,ND,1975,3490,4764,ND,ND,ND,ND,1977,2700,4079,0,0,73,0,1899,2835,3519,0,0,93,ND,2040,2711,3282,0,0,93,ND
12037,Ixcateopan de Cuauhtémoc,ND,ND,ND,0,0,55,ND,2480,1699,2781,0,0,56,ND,2508,2789,4753,ND,ND,ND,ND,2566,2912,5127,0,0,59,0,3138,2880,4132,0,0,79,ND,2495,2632,3990,0,0,86,ND
12038,Zihuatanejo de Azueta,ND,ND,ND,1,3,667,ND,39834,178800,283700,1,3,682,ND,44112,232159,399375,1,3,ND,ND,47224,235256,457508,1,3,685,0,49027,240332,339264,1,3,705,ND,50463,237432,367656,1,3,706,ND
12039,Juan R. Escudero,ND,ND,ND,0,2,177,ND,7453,7658,12800,0,2,181,ND,7596,12999,22450,0,2,ND,ND,7680,13044,22878,0,2,184,0,7568,12648,16271,0,2,204,ND,7000,12087,15482,0,2,204,ND
12040,Leonardo Bravo,ND,ND,ND,0,0,171,ND,4804,3569,5437,0,0,175,ND,4871,5944,9670,ND,ND,ND,ND,4946,6105,10070,0,0,178,0,4968,6186,9884,0,0,198,ND,4112,5562,7528,0,0,198,ND
12041,Malinaltepec,ND,ND,ND,0,0,190,ND,3607,2052,3086,0,0,194,ND,3759,3226,5199,ND,ND,ND,ND,4207,3529,5719,0,0,197,39449,4391,3596,5835,0,0,217,ND,4320,4566,6862,0,0,214,ND
12042,Mártir de Cuilapan,ND,ND,ND,0,0,114,ND,3821,2607,3663,0,0,117,ND,3960,3862,5399,ND,ND,ND,ND,4116,4165,6099,0,0,120,5251,4315,3603,4622,0,0,140,ND,4362,4625,5713,0,0,140,ND
12043,Metlatónoc,ND,ND,ND,0,0,206,ND,2514,1036,1368,0,0,211,ND,3782,2060,2776,ND,ND,ND,ND,3786,2408,3237,0,1,214,10842,3983,2611,3556,0,1,234,ND,3311,2254,3249,0,1,235,ND
12044,Mochitlán,ND,ND,ND,0,0,76,ND,2984,2122,3063,0,0,78,ND,3168,3311,5065,ND,ND,ND,ND,3272,3428,5256,0,0,81,0,4410,4790,5877,0,0,101,ND,3367,3297,4112,0,0,102,ND
12045,Olinalá,ND,ND,ND,0,0,150,ND,5066,3494,5336,0,0,153,ND,5246,5786,9236,ND,ND,ND,ND,5261,5961,9914,0,0,156,21680,5608,5051,8062,0,0,176,ND,5970,6221,8342,0,0,177,ND
12046,Ometepec,ND,ND,ND,0,1,442,ND,11608,16518,23816,0,1,452,ND,12111,25315,38773,0,1,ND,ND,12675,25196,43992,0,1,455,0,12903,27210,45674,0,1,475,ND,12956,27210,45674,0,1,476,ND
12047,Pedro Ascencio Alquisiras,ND,ND,ND,0,0,56,ND,1035,700,1041,0,0,57,ND,1053,1153,1745,ND,ND,ND,ND,1102,1137,1643,0,0,60,0,1007,1007,1468,0,0,80,ND,1007,1020,1304,0,0,80,ND
12048,Petatlán,ND,ND,ND,0,1,364,ND,13922,18184,26691,0,1,372,ND,14137,26831,41374,0,1,ND,ND,14030,26928,44425,0,1,375,0,15043,28846,48025,0,1,395,ND,15429,27700,37031,0,1,396,ND
12049,Pilcaya,ND,ND,ND,0,1,79,ND,2819,1971,3165,0,1,81,ND,2862,3344,5359,0,1,ND,ND,2955,3489,5685,0,1,84,0,3466,2993,4924,0,0,104,ND,3527,28993,41465,0,0,101,ND
12050,Pungarabato,ND,ND,ND,0,1,249,ND,12069,32235,51494,0,1,255,ND,12597,45197,75041,0,1,ND,ND,15374,50789,90476,0,1,258,0,16184,46870,70814,0,1,278,ND,16647,25807,47571,0,2,278,ND
12051,Quechultenango,ND,ND,ND,0,1,230,ND,7518,4653,6893,0,1,235,ND,7679,7730,12017,0,1,ND,ND,7878,7896,12559,0,1,238,0,8510,9179,12934,0,1,258,ND,8077,9604,12752,0,1,259,ND
12052,San Luis Acatlán,ND,ND,ND,0,0,240,ND,6761,5872,8118,0,0,246,ND,7009,9539,13471,ND,ND,ND,ND,7245,8025,12670,0,0,249,2685,7261,8298,12760,0,0,269,ND,7400,8282,10271,0,0,269,ND
12053,San Marcos,ND,ND,ND,0,1,358,ND,13453,15576,23336,0,1,366,ND,13691,25454,39579,0,1,ND,ND,11613,17001,26513,0,1,369,0,11691,18570,29755,0,1,389,ND,11620,18038,23531,0,1,389,ND
12054,San Miguel Totolapan,ND,ND,ND,0,0,205,ND,3533,3221,4060,0,0,210,ND,3808,5053,6781,ND,ND,ND,ND,3772,5202,7234,0,0,213,0,3997,5377,8040,0,0,233,ND,4118,5065,7677,0,0,233,ND
12055,Taxco de Alarcón,ND,ND,ND,0,2,1242,ND,32764,64284,99840,0,1,1271,ND,33320,74827,127214,0,1,ND,ND,34534,63054,122415,0,1,1274,0,37063,59460,98371,0,1,1294,ND,36322,59552,100094,0,1,1309,ND
12056,Tecoanapa,ND,ND,ND,0,0,305,ND,7933,4999,6755,0,0,312,ND,8102,8950,13234,ND,ND,ND,ND,8676,9581,14014,0,0,315,0,8711,10966,11591,0,0,335,ND,8508,9167,9494,0,0,335,ND
12057,Técpan de Galeana,ND,ND,ND,0,2,475,ND,19039,25742,39611,0,2,486,ND,19541,40910,66383,0,2,ND,ND,20672,43442,76360,0,2,489,0,21067,45589,60265,0,2,509,ND,21204,45263,63052,0,2,509,ND
12058,Teloloapan,ND,ND,ND,0,1,408,ND,16561,13131,21449,0,1,417,ND,17071,22809,38124,0,1,ND,ND,17392,23608,40914,0,1,420,0,18136,22398,31861,0,1,440,ND,18417,23260,32655,0,1,440,ND
12059,Tepecoacuilco de Trujano,ND,ND,ND,0,0,253,ND,10724,9912,13829,0,0,259,ND,10968,16428,24090,ND,ND,ND,ND,10936,16563,25096,0,0,262,4205,14184,16284,18952,0,0,282,ND,11566,15431,17826,0,0,289,ND
12060,Tetipac,ND,ND,ND,0,0,97,ND,2723,6968,8642,0,0,99,ND,2742,7499,8917,ND,ND,ND,ND,2876,6607,10435,0,0,102,0,3078,8325,9398,0,0,122,ND,2396,7639,9122,0,0,124,ND
12061,Tixtla de Guerrero,ND,ND,ND,0,0,257,ND,9778,7913,13216,0,0,263,ND,10231,13253,21924,ND,ND,ND,ND,10628,14132,23993,0,0,266,1777,11448,14730,18945,0,0,286,ND,11148,14906,19900,0,0,286,ND
12062,Tlacoachistlahuaca,ND,ND,ND,0,0,96,ND,3306,2566,3264,0,0,98,ND,3387,4010,5015,ND,ND,ND,ND,3574,3518,4733,0,0,101,5455,4183,3766,4138,0,0,121,ND,3588,3605,4002,0,0,121,ND
12063,Tlacoapa,ND,ND,ND,0,0,59,ND,1001,600,1173,0,0,60,ND,1087,849,1467,ND,ND,ND,ND,1048,861,1476,0,0,63,16361,1208,1001,1413,0,0,83,ND,1112,1344,2215,0,0,83,ND
12064,Tlalchapa,ND,ND,ND,0,0,106,ND,3607,3645,4803,0,0,108,ND,3767,6068,8456,ND,ND,ND,ND,3867,6057,8403,0,0,111,0,3988,6440,7157,0,0,131,ND,3715,5697,6744,0,0,131,ND
12065,Tlalixtaquilla de Maldonado,ND,ND,ND,0,0,51,ND,1785,1184,1513,0,0,52,ND,1829,2511,3483,ND,ND,ND,ND,1838,2584,3865,0,0,55,1272,1900,2335,2777,0,0,75,ND,1938,2105,2467,0,0,75,ND
12066,Tlapa de Comonfort,ND,ND,ND,0,1,383,ND,17421,18122,29259,0,1,392,ND,18183,31570,51063,0,1,ND,ND,18783,34599,60074,0,1,395,22000,20437,32746,41884,0,1,415,ND,20366,32529,52298,0,1,415,ND
12067,Tlapehuala,ND,ND,ND,0,1,160,ND,6512,7711,10180,0,1,164,ND,6672,12825,18263,0,1,ND,ND,6781,12963,18893,0,1,167,0,7084,13237,15499,0,1,187,ND,6312,13248,15791,0,1,185,ND
12068,La Unión de Isidoro Montes de Oca,ND,ND,ND,0,1,211,ND,4057,5731,9909,0,1,216,ND,4242,9438,16988,0,1,ND,ND,4859,11141,20874,0,1,219,0,4892,11074,16161,0,1,239,ND,4578,11219,17357,0,1,240,ND
12069,Xalpatláhuac,ND,ND,ND,0,0,80,ND,2508,1451,1854,0,0,82,ND,2740,2894,4612,ND,ND,ND,ND,2754,2684,3832,0,0,85,7518,2771,2677,2953,0,0,105,ND,2764,2929,3766,0,0,105,ND
12070,Xochihuehuetlán,ND,ND,ND,0,0,55,ND,0,0,0,0,0,56,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0,0,59,0,ND,ND,ND,0,0,79,ND,2351,2756,3447,0,0,79,ND
